average_hr,average_watts,moving_time,average_speed,average_grade,distance,total_elevation_gain
174.86666666666667,362.3673469387752,333.965,5.201884928061324,8.0,1720.91,136.507
169.8999999999999,325.55744680851063,430.545,5.458740665900196,6.5,2347.78,152.85
159.47403846153853,283.99999999999994,364.44,5.563989957194601,5.1,2029.45,103.822
164.64787234042558,277.5265957446809,343.94358974358977,5.1957431898492565,5.6,1788.56,99.0157
164.46464646464648,307.93783783783783,296.48205128205126,5.716841941398276,5.5,1709.07,93.7285
167.68800000000005,307.5005555555556,401.3025641025641,6.109188028726965,4.8,2429.0,117.76100000000001
159.10818181818183,312.86022099447496,409.2974358974359,3.9650683472617247,8.6,1638.18,141.314
166.78035714285718,318.6276595744681,446.26666666666665,5.154636758520836,6.4,2303.01,151.407
166.18571428571425,319.3989417989417,609.7,6.182529932753812,4.9,3839.8,189.91299999999998
158.6197530864197,280.3822222222221,274.4923076923077,5.532875611852182,5.5,1506.74,83.6348
161.17373737373742,257.6791443850268,1427.8307692307694,5.111690676550769,4.6,7587.7,381.475
167.5022222222222,314.6505434782609,491.35897435897436,5.011946981161613,6.7,2462.82,164.386
163.83809523809518,291.90162162162164,619.0564102564102,5.774769707412437,5.0,3600.85,179.766
160.09599999999998,246.63406593406597,650.9076923076923,3.6984298061090235,7.4,2415.44,178.96200000000002
160.2397260273973,263.1114583333333,299.135,5.432080833068683,5.1,1590.34,79.065
158.1576086956522,268.9855555555556,2166.1384615384613,4.191008932355108,6.7,9071.94,619.243
158.46562499999996,265.8565934065934,1644.5076923076922,5.888755733927076,4.2,9693.6,413.048
168.00756302521003,307.78201058201057,1100.08,5.719291324267327,5.4,6289.65,350.401
156.9711111111111,233.75561497326188,809.4051282051282,3.5750047518278696,6.8,2859.77,195.14700000000002
156.7320388349514,248.50904255319148,550.4572864321608,5.665509717822553,4.3,3156.49,134.285
163.77978723404246,310.68469945355207,306.69743589743587,5.943194662742868,5.3,1829.73,99.49600000000001
157.19716981132083,257.4526041666666,437.53,5.431659543345599,4.7,2382.5,111.51299999999999
154.40499999999997,248.25083798882676,1044.148717948718,5.9357287742683305,3.8,6157.41,235.042
156.19903846153846,257.85722222222216,751.4205128205127,4.979456345929421,5.1,3796.21,193.085
158.25319148936168,281.9875675675676,425.4358974358975,6.1831581485053,4.2,2617.46,108.03200000000001
165.28282828282832,275.7439153439153,1560.4717948717948,3.280796077451921,10.1,5088.96,515.488
161.28000000000003,217.4,695.4285714285713,3.3999691865242405,5.4,2330.0,124.01
161.55999999999997,288.88105263157894,549.5589743589744,6.513176066589531,3.8,3569.99,136.38299999999998
157.94519230769234,299.01263736263724,603.6461538461539,4.720042307006142,6.2,2855.04,176.502
169.32747252747254,299.31709844559583,289.48,6.4850559624153625,4.3,1892.49,97.0933
164.58365384615382,282.9875,1720.085,5.239034989549936,5.4,9509.25,0.0
154.46642191509122,262.2783194911948,871.6569839015953,8.209767193993564,6.0,2354.47,139.872
172.88478260869564,347.3473684210524,440.87,6.062365323111122,5.7,2684.82,155.733
167.22429906542064,328.6637362637364,494.1948717948718,4.5513697492943725,8.0,2228.94,177.84400000000002
162.5247422680413,330.22513089005236,210.125,6.56306960142772,5.8,1383.36,78.828
162.47019230769232,273.8785714285715,637.1333333333333,4.0392471084424635,7.2,2617.13,187.458
172.616037735849,306.78274111675137,489.86,4.861926877066919,7.2,2397.47,173.037
163.32051282051282,329.81428571428563,586.98,11.444380558111007,-0.6000000000000001,6671.89,93.90700000000001
161.2591836734694,294.42849740932644,345.82,7.367337053958702,3.1,2560.48,79.7894
155.60348837209298,270.7581005586592,406.425641025641,5.80828359809723,4.5,2360.66,105.26
171.6588235294117,377.9481675392669,203.19,6.0125645947143065,6.8,1242.59,83.833
167.33949579831932,334.0683333333333,249.4923076923077,7.417008900125383,4.3,1838.14,78.3474
159.81553398058253,299.97741935483856,414.8410256410256,4.7201510618834535,6.7,1972.31,131.119
151.12708333333327,250.35549738219916,333.775,6.053411729458468,4.2,1985.31,89.179
162.49743589743596,253.51368421052624,2026.9435897435894,3.418641683575624,8.4,6907.82,576.631
159.36385542168668,272.84835164835187,653.1897435897437,4.326081085324871,6.7,2872.43,190.048
160.5093023255814,284.94301675977647,917.0871794871796,6.880861367093138,3.4,6343.44,0.0
154.86640624999987,207.6124999999999,5044.076923076923,7.011592372877043,1.8,35402.0,758.0
161.1409090909091,270.18804347826085,570.4358974358976,5.7778028498224465,4.4,3296.59,143.236
169.62280701754386,306.21846153846167,1076.475,5.489833019810028,6.0,5925.45,361.719
166.0817204301075,309.5021978021977,596.7435897435898,3.671469084346666,9.4,2197.06,214.22
171.0042016806723,381.7628272251308,88.04615384615386,12.433449822354234,-0.1,1094.55,2.049
156.7932584269663,267.19585492227986,627.21,9.720151145549341,0.2,6206.45,63.0
150.56250000000003,238.6452513966481,487.65128205128207,5.709510789551174,3.7,2782.01,108.73
165.7513043478261,323.99384615384633,546.835,6.004005778708385,5.6,3300.68,204.76
161.89342105263154,305.85911602209944,802.4615384615386,3.8702677658486686,9.3,3066.25,286.953
156.75833333333338,380.30317460317457,251.85128205128208,12.433978131172244,0.1,3117.65,2.8
165.34590163934428,383.9426966292134,296.14358974358976,12.941797118514922,-0.0,3918.07,2.0
148.40077519379852,246.62789473684208,1154.179487179487,9.758005909403943,-0.1,11360.1,112.955
170.76140350877196,309.2475675675676,723.735,4.571633263556413,7.7,3242.87,0.0
168.65765765765755,314.35189189189185,1402.285,6.4921392584246425,4.7,9118.54,431.6
