id,average_hr,average_watts,moving_time,average_speed,labels,polyline
1475,161.1737373737374,257.6791443850268,1427.8307692307692,5.111690676550768,3,sk_fFdntfV|@}B`A_BP[`@sBj@eAr@{@p@iAf@s@Pm@Tm@p@i@h@k@Xo@n@sBp@}A\\e@~AyA`@k@j@iBNwAN_AJ[ZW\\Q\\oA@o@AiBZ_A^y@b@sAp@gDJ_@`@aANs@A{@Se@CYD[Le@\\i@d@g@ZUTcAMqADaAD]`@}@Ns@?o@No@Vq@Te@H]Fi@?g@Iy@?k@l@{CH_CN_AbAeE?w@QsABg@JaAj@cCd@_Cz@uCPyBFWb@kAHi@@_@Hi@v@Wl@eABeAZcALOVQh@m@p@aAPa@BkA`@sA`@e@N]x@mCv@}@vDkHl@wAz@}AV{AL_BV[PMXKlAORITUN[PQf@[Na@@_APIREXQZYRc@X_@fAs@O{@k@UQU?c@L_@|@gCTeAXc@z@iAXYtAu@f@Qd@Eh@O^e@h@cA^_@XEZFVTZj@X^N^z@`@D{@Ys@G_@HsAJa@JSTSz@o@jAcAf@]rA]bCeC\\Yz@ERPn@v@^xABfBPj@\\UJUb@_@TYBGA_B^cALeAPWv@OPMPYBe@QgAA_@L[z@k@r@UNg@AS[mAGw@V{AVYJ?VN^f@Hb@B`APpArBnBb@Pf@[Vy@HMx@Wh@H\\Rp@jAv@d@f@`A`@]f@cAR_ABo@`@wAx@sAV[l@eAz@iBLe@Vq@hAeB`@U^CRK~@gAZKf@Er@[b@i@T_@`@c@\\Sr@k@M]{A[QGe@Ca@HGDFLH?EJLDbAIzBRt@S|@k@b@AZBj@E`BAp@M]@@Ff@GfAKpAUrBDp@Jb@@|CUj@Ih@[DG
1569,167.5022222222222,314.6505434782609,491.35897435897436,5.011946981161614,3,qvjfFpk|hVaACgAWe@Wq@i@q@_Ai@mAWsAMoA?oAHqApAuKDgA?mAGcAYwAWs@i@aAa@g@w@m@gKmG_HaEsG}DiAi@oAQeAA}FJoAEeAS{@c@y@s@q@iAyB{Es@uAy@cAeAu@cA[aAM{CYeA_@w@s@o@iAY_A
1577,163.8380952380952,291.9016216216216,619.0564102564102,5.774769707412437,3,{cgfFbidiVpACdBIr@Mt@Y^SpCsCZa@\\m@Zy@t@kDPa@RS`@Y`ASb@[hAkB`@[`@?`@^`@`Ab@p@r@Zt@Pt@FF?r@]VYb@aALy@EeASs@UWMEa@?a@B]IQSSw@NwAT_BZcBb@eB`A{Bf@}@d@a@\\EtATb@AX[Jq@?_AG[CIe@q@g@c@]g@ESc@cA_@Q{@[WQ[a@We@Mc@SgAMa@S[WSYKcAIW@iAJk@?SU?g@Fk@\\_BXUb@If@?f@fAZNb@I`@[b@i@b@s@N{@BkAOy@KQUYsB}AS[e@oA@i@XS`@Sf@K^?n@EhA@\\A`@_@No@?WMyAHk@Z_@v@q@^u@Dg@A}AD]ZaA@eAi@{BCWJkAzAmE|AmCViAr@aE
2109,160.09599999999998,246.63406593406594,650.9076923076923,3.698429806109024,3,o}qdFzmkjVjAO`@IrAw@lAPfAj@x@n@T\\z@Q?}@u@wAYqBVu@x@iA|@K|AEl@{@z@w@ZAj@DpBdB^rA\\|Ax@`@p@`@\\a@XkAr@kAr@Ip@HVHZP`@l@Lf@LhA?x@Gj@[bAg@f@q@^iCdAkA^a@j@F|@lA~@^h@j@pAPvAK|ANjBHFbAOt@S@ACAXHZNBAPVZNt@@t@C`AWpAEvAj@l@Dp@\\bA|An@dBlAd@`@n@E`A
2469,160.23972602739727,263.1114583333333,299.135,5.432080833068684,3,whteFdaqjVaCWs@QaCgAw@Ko@AoCRe@GUUMUW}@OWSSWI]CiAWgAg@UUOUUs@S[]Sc@?kCz@c@Ce@[w@u@_@g@Yq@?[fAg@f@]tAiAx@k@d@WNC`@@t@Lf@Zr@n@bAjAZVb@Hd@E~@[h@e@~AmCjBeCn@a@`@Q
3761,158.1576086956522,268.9855555555556,2166.1384615384613,4.191008932355108,3,gjobFdcbhVj@hAJJ^nA?PPd@R\\hA~@f@f@dAz@Xv@v@pAx@`Ab@\\^j@JbAD|@Gf@Mh@E\\Dz@d@x@~@pANv@AZGz@Fz@QfB@xANr@Hx@P~@n@dCL|@?b@@Jr@lCd@h@z@n@FNJHr@XfAHn@\\HLl@lATl@\\p@hCzD^jADfA^v@l@t@ZpAAPSdA_AnCOt@Ph@XJTAp@H\\ZPXLF`@CRD\\Nj@b@TBT?VE^FTNr@BT?zASl@Sd@Yf@?JBNALBp@XV\\FVTh@FP?RITe@Ho@\\MNO`@C`@?b@Bd@Jt@TbAl@tB@ZLz@Bp@El@[|@]|Aa@~@k@hBg@`Ai@|@Q`@E|@?r@@JPf@PHXQLS^aBLYRMdA]b@U^Kr@g@f@UPMl@{@NOb@OTEf@_@x@}@P_@Z]\\UP[d@}BDeATWZYj@Wj@a@TUp@mAh@{@Pe@Hc@@c@J_@PS\\MNAxAFn@Ad@C^Kl@Kn@Ht@Gx@kBLa@NOWT@z@Eb@K`@EfAOj@SZs@p@a@Vi@Pa@GUOYK]Cc@L_@^qCtFOr@Sp@c@`AMd@MnAEx@s@~CAj@Hl@ZlA?^Kf@k@v@aAv@[ZYd@Iv@Jv@\\d@l@NPAn@c@L]XqAr@yB^uAZuA|@wEVm@ZUh@Gl@PDFZp@Bf@Il@]l@{@lAOd@I`@Eh@?jAI`DBpANnARj@F^LZjBvCPd@J`@D`AF\\CnBPd@Xb@Hf@x@|AZZxA~@ZXP^Hb@BZP`@V\\h@ZTXTJLN~@b@pAf@PJ\\j@Lb@OX_@^c@C{@[c@?a@NYZQb@Ol@Kp@O^SV[J]@[KUQ]s@U_A[}@QY]Sa@A]N_@Jc@CYSe@u@YQa@GcAHg@LQHUXM\\Eb@Dj@b@pBj@pBNrAI|@_@pAG`@A^Fd@\\Z`@Ax@y@^U\\BJJn@dAVr@AVDx@VbART\\TRPX\\Jb@F`@Lb@D\\JXl@b@xAx@b@Hz@Cl@Kb@H@xACNFt@Lz@DzAG^[hAWj@]dAMVI`@Af@@NGt@q@jB_@rAWd@WZ]P}@R_@XSZO\\Gd@DhBBPFLIK@@HG
3799,158.46562499999996,265.8565934065934,1644.5076923076922,5.888755733927076,3,m~bbFntqhVy@Q{CsAYY{@i@]Sa@OiBQk@CWBa@Ac@Qi@]u@cAMc@Ow@[{DIo@Mg@KW[e@[[g@[g@Sg@Ge@Bg@HuAb@wAl@W@{@?yBEs@J}@`@_B|Ai@n@q@`@s@No@D{A?iABo@Ck@Ka@Qe@_@uA{A_@Se@Q}Bk@eBw@e@]Wc@Ko@GyC@y@p@}BFm@?y@CaAHq@Ta@|@y@Xg@Ns@?q@Mm@]e@[S_AKg@@SC_AJm@X}A|@y@p@S\\O|AOt@a@x@KNq@V{@Ds@Am@K[KWUUc@OgAI{@Ia@[k@WOa@Ie@BODq@h@u@hAi@b@c@TiAb@_ATa@H_@Cc@IiDgAiA[a@Qc@UkA_AuA_B_@o@Yo@yA_ESe@We@]Sk@Km@LiDjB_@XUb@MzAQh@w@`AYb@a@Xi@XmA`A]\\_@VgBfA_@b@sA|@_BtAa@^q@v@Ul@[vAWbCi@nBg@rAw@lCMx@a@pAu@p@mAXmARwANc@@i@Kk@e@Uk@Mo@S}AQg@mAqA[o@o@wBi@oAi@[k@Ei@Fk@Pg@ZuBfBiAlAiA~@w@r@m@p@_ArB]h@g@Pu@KSMWWSg@E_@PeARg@Ta@Rk@dAuDl@sAt@kAx@y@V_@Xk@d@iBL_AP{@jAuBTi@Rk@r@gEb@_BrAwCbAgCf@iAd@iAn@wBPiAGuB@cAQkAQy@Yu@kBgDiAeCUc@W[c@c@_Aq@aCuAkBsAkAe@u@Ms@OUIMKaAwAcAcCa@_@m@QuEEeAEuAYoAs@cA_AqB{Cw@aA}@YqAEaAW_@e@kAiCwAkCM_@QyAZiPDs@FcEC_ASmCEuBIs@Wo@]g@yAw@k@]Sc@MgA?gBKy@_@o@_FsEm@w@c@m@AG?[
3983,168.00756302521003,307.78201058201057,1100.08,5.719291324267327,3,g|ceFx}_eVJD`At@\\\\nCnB~AtAxA~Ah@hAhA`E~CvHjAlBxB~Cr@rA`A~B|@nAtBxB|AhBdB~Bn@b@xBjAd@HtBTdAT~@d@l@d@t@~@v@~Ap@|Ap@pBf@fAn@dAJr@a@pCEnAD^J\\^`@fBp@l@Dd@Q`@Gf@Nf@h@hArBRZ^V~AT`@b@l@`Ar@p@~BlBv@`@pCb@fADrAI^HTZLf@NbALfARz@f@`A^j@t@v@z@v@h@p@nBxARJp@PnAThA\\z@r@p@`AtA~Bf@nAd@~B|@pIJfBAjE?hBC`BOlAS|@eAvBc@lAu@nDEbAFdEAv@S~AIt@Ar@?`@H`A`@rDj@bELzAAnAOxC@hCRtB`@hCLrBA`BGzAA|@?rELhE?nBO|I?lDNbCTpKPxDJtA@dACt@WvBQtEDhACv@MxAEhCGx@I~@Bz@L`@
3985,156.9711111111111,233.75561497326188,809.4051282051282,3.5750047518278696,3,aardFdokjVzBg@fAMb@UVUZOZCZBZJp@XhAx@j@h@\\?TUFa@K]e@_AKa@M}AHk@d@cAPUXIv@Ev@?\\ETU\\_ATWZEl@Bp@Rd@h@h@b@PVPz@Tv@D\\NVl@Xj@^VKf@qBN_@XYXMZ@p@HVHRJ`@\\LRLXLn@Dr@?r@CXYdAYd@i@\\oCjA_Bj@ONMREX?VLTz@p@^b@LRx@pBB^Q~AFxAD^RNTAbAWXCVBVLh@`@TFn@?Z?VKVQn@Ar@IXHn@XZJt@F\\LdA`ANb@D^N`@^j@ZRb@JTPNXDZKZYJ[AmEo@}EU}CS}@MW@
4311,156.73203883495142,248.5090425531915,550.4572864321608,5.665509717822553,3,}saeF|wsjVdCKdH?|EMfEy@fBu@`DsB`BcBx@_AfBoBr@{@pBoCbCuCzBcBlCoAzCw@hCYbEF~C^^HZ\\Dj@Ad@t@z@dEXfPdBnETnDGtAKjAMrAWzCu@fGkBfHaCpGsBtBeA
4313,163.77978723404246,310.68469945355207,306.6974358974359,5.943194662742868,3,soseFhlqjVd@v@f@rAXpAJnABhA?hAD|B@`DNbGC`A[|ACp@JxAR`AR\\ZJz@B\\Fj@\\PTf@dA\\lAJv@@x@C`@K^uA~CIZ@\\RzAH~@H\\JZVTt@lALTJ\\TxAD|@B~@E~AOz@m@dCKr@m@vCGnA@bAH|@F\\h@~@j@x@d@f@V@TOVU`@m@H]
102471,157.1971698113208,257.4526041666666,437.53,5.431659543345599,3,izxbFr}~iV\\j@\\T\\CvAa@l@YtCyA~@m@h@e@f@Sj@@j@VDFl@b@`ABb@RTp@Lp@j@xA^b@fAb@^`@Dn@C~@Pr@jAhAVf@Vv@j@\\h@MnAq@h@B\\r@d@ZNGr@{@r@k@lAq@jCoBb@e@p@cAp@{ApA_CXqAR}AXo@R{@LgBDqBFiA`@WVHz@^t@@r@Uj@c@VALTBPEf@Wz@Kt@DPfAxBPTp@VRApDq@rAe@FGZs@PmB`@oA
