average_hr,average_watts,moving_time,average_speed
174.86666666666667,362.36734693877514,333.965,5.201884928061324
169.89999999999992,325.5574468085106,430.545,5.458740665900196
159.47403846153853,283.99999999999994,364.44,5.563989957194601
164.64787234042555,277.5265957446809,343.94358974358977,5.1957431898492565
164.4646464646465,307.9378378378378,296.48205128205126,5.716841941398276
167.68800000000002,307.50055555555554,401.3025641025641,6.109188028726965
159.1081818181818,312.860220994475,409.2974358974359,3.9650683472617247
166.78035714285718,318.6276595744681,446.26666666666665,5.154636758520836
166.18571428571425,319.3989417989417,609.7,6.182529932753812
158.61975308641973,280.3822222222221,274.4923076923077,5.532875611852181
161.1737373737374,257.6791443850268,1427.8307692307692,5.111690676550768
167.5022222222222,314.6505434782609,491.35897435897436,5.011946981161614
163.8380952380952,291.9016216216216,619.0564102564102,5.774769707412437
160.09599999999998,246.63406593406594,650.9076923076923,3.698429806109024
160.23972602739727,263.1114583333333,299.135,5.432080833068684
158.1576086956522,268.9855555555556,2166.1384615384613,4.191008932355108
158.46562499999996,265.8565934065934,1644.5076923076922,5.888755733927076
168.00756302521003,307.78201058201057,1100.08,5.719291324267327
156.9711111111111,233.75561497326188,809.4051282051282,3.5750047518278696
156.73203883495142,248.5090425531915,550.4572864321608,5.665509717822553
163.77978723404246,310.68469945355207,306.6974358974359,5.943194662742868
157.1971698113208,257.4526041666666,437.53,5.431659543345599
154.40499999999997,248.25083798882673,1044.148717948718,5.93572877426833
156.19903846153846,257.8572222222222,751.4205128205128,4.979456345929421
158.25319148936168,281.98756756756757,425.43589743589746,6.1831581485053
165.2828282828283,275.7439153439153,1560.4717948717948,3.280796077451921
161.28000000000003,217.4,695.4285714285714,3.39996918652424
161.55999999999995,288.88105263157894,549.5589743589744,6.51317606658953
157.94519230769234,299.01263736263724,603.6461538461539,4.720042307006142
169.32747252747254,299.31709844559583,289.48,6.485055962415363
164.58365384615382,282.9875,1720.085,5.239034989549937
154.46642191509122,262.2783194911948,871.6569839015953,8.209767193993564
172.88478260869562,347.3473684210524,440.87,6.062365323111123
167.22429906542064,328.6637362637364,494.1948717948718,4.551369749294372
162.5247422680413,330.2251308900524,210.125,6.56306960142772
162.4701923076923,273.8785714285715,637.1333333333333,4.039247108442464
172.616037735849,306.78274111675137,489.86,4.861926877066919
163.3205128205128,329.81428571428563,586.98,11.444380558111009
161.2591836734694,294.42849740932644,345.82,7.367337053958703
155.603488372093,270.7581005586592,406.425641025641,5.80828359809723
171.65882352941173,377.9481675392669,203.19,6.012564594714306
167.33949579831932,334.0683333333333,249.4923076923077,7.417008900125383
159.81553398058253,299.97741935483856,414.8410256410256,4.7201510618834535
151.12708333333327,250.35549738219916,333.775,6.053411729458467
162.49743589743596,253.51368421052624,2026.9435897435897,3.4186416835756237
159.3638554216867,272.84835164835187,653.1897435897436,4.326081085324871
160.50930232558136,284.9430167597765,917.0871794871795,6.880861367093138
154.86640624999987,207.61249999999987,5044.076923076923,7.011592372877042
161.14090909090913,270.18804347826085,570.4358974358975,5.777802849822446
169.62280701754383,306.21846153846167,1076.475,5.489833019810028
